"Title","Year","Authors","Journal","DOI","Source","Surveillance_Type","Governance","Geographic_Extent","Region","Country","Country_if_Multiple","Animal_Type","Number_Species","Species_name","Num_Indicators_Study","Num_Indicators_System","Indicators_study","Indicators_simpl","Unit_analysis","Source_of_indicators","Data_provider","Providers_if_multiple","Surveillance_system_name","Is_SyS","OneHealth","Response","System_purpose","Pilot_Proof_followup","Analysis_type","Statistical_framework","Keep"
"Early detection of individual growing pigs’ sanitary challenges using functional data analysis of real-time feed intake patterns","2022.0","Colin, B. and Germain, S. and Pomar, C.","Communications in Statistics Case Studies Data Analysis and Applications","10.1080/23737484.2021.1991855","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","North America","Canada","NA","Livestock","1.0","pig","1.0","NA","feed intake","behavior","Individual","Ear tag","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Efficacy of statistical process control procedures to monitor deviations in physical behavior for preclinical detection of bovine respiratory disease in feedlot cattle","2021.0","Wottlin, L.R. and Carstens, G.E. and Kayser, W.C. and Pinchak, W.E. and Pinedo, P.J. and Richeson, J.T.","Livestock Science","10.1016/j.livsci.2021.104488","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","North America","USA","NA","Livestock","1.0","cattle","6.0","NA","frequency lying down, duration lying down, motion index, step count, multivariate activity (all variables), multivariate resting","behavior","Individual","Accelorometer on leg","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Prediction of fish mortality based on a probabilistic anomaly detection approach for recirculating aquaculture system facilities","2021.0","Lopes, B.D.M. and Silva, L.C.B. and Blanquet, I.M. and Georgieva, P. and Marques, C.A.F.","Review of Scientific Instruments","10.1063/5.0045047","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Spain","NA","Fisheries/Aquaculture","1.0","Senegalese sole (Solea senegalensis)","1.0","NA","mortality","mortality","Herd_flock","Mortality records","Farmer/Owner","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","Yes"
"Real-time temperature monitoring for the early detection of mastitis in dairy cattle: Methods and case researches","2019.0","Kim, H. and Min, Y. and Choi, B.","Computers and Electronics in Agriculture","10.1016/j.compag.2019.04.004","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","Korea South","NA","Livestock","1.0","cattle","1.0","NA","body temperature","general illness","Individual","Internal sensor","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"A night-time anomaly detection system of HOG activities based on passive infrared detector","2019.0","Cai, Y. and Ma, L. and Liu, G.","Applied Engineering in Agriculture","10.13031/aea.13007","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","China","NA","Livestock","1.0","pig","1.0","NA","activity","behavior","Individual","PID sensor recordings","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Intelligent Monitoring System Based on Distributed Object for Layer House","2017.0","Meng, C. and Wang, J. and Chen, H. and Li, H. and Zhang, X.","Nongye Jixie Xuebao/Transactions of the Chinese Society for Agricultural Machinery","10.6041/j.issn.1000-1298.2017.10.037","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","China","NA","Livestock","1.0","chicken","3.0","NA","mortality, egg production, feed consumption","mortality, reduced production, behavior","Herd_flock","cameras and individual sensor tags","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","NA","Yes"
"Continuous health surveillance system for cattle","2017.0","Mulla, A.I. and Mulik, A.P. and Prashant, A. and Gawai, D.D.","Proceedings of the 2017 International Conference on Intelligent Computing and Control Systems, ICICCS 2017","10.1109/ICCONS.2017.8250656","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","India","NA","Livestock","1.0","cattle","5.0","NA","feeding behavior, drinking behavior, lameness, heartbeat, body temperature","behavior, musculoskeletal, general illness","Individual","RFID tag, individual sensors","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","NA","NA"
"Using fish mortality data to assess reporting thresholds as a tool for detection of potential disease concerns in the Scottish farmed salmon industry","2016.0","Salama, N.K.G. and Murray, A.G. and Christie, A.J. and Wallace, I.S.","Aquaculture","10.1016/j.aquaculture.2015.07.023","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","Europe","UK","NA","Fisheries/Aquaculture","1.0","Atlantic salmon","1.0","NA","mortality","mortality","Population","records from Scottish Environment Protection Agency","Farmer/Owner","NA","NA","NA","No","NA","early warning of health and welfare issues","No, searched Scottish Environment Protection Agency (SEPA) website","Spatio-temporal","NA","Yes"
"Evaluating the cost implications of a radio frequency identification feeding system for early detection of bovine respiratory disease in feedlot cattle","2015.0","Wolfger, B. and Manns, B.J. and Barkema, H.W. and Schwartzkopf-Genswein, K.S. and Dorin, C. and Orsel, K.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2014.12.001","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","North America","Multi-Country","USA, Canada","Livestock","1.0","cattle","1.0","NA","feeding behavior","behavior","Individual","ear tag and bowl scale","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Study on the livestock activity monitoring system using acceleration","2012.0","Jeong, H. and Yang, C.-J. and Yoe, H.","Communications in Computer and Information Science","10.1007/978-3-642-35251-5_41","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","Korea South","NA","Livestock","1.0","cattle","1.0","NA","activity","behavior","Individual","acceleration sensor","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","NA","NA"
"Moving-average trigger for early detection of rapidly increasing mortality in caged table-egg layers","2011.0","Malladi, S. and Weaver, J.T. and Clouse, T.L. and Bjork, K.E. and Trampel, D.W.","Avian Diseases","10.1637/9636-122910-Reg.1","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","North America","USA","NA","Livestock","1.0","chicken","1.0","NA","mortality","mortality","Herd_flock","Mortality records","Farmer/Owner","NA","NA","NA","No","NA","early warning of disease outbreak","No, checked UMinn, Iowa State, USDA websites","Temporal","Frequentist","Yes"
"Using mortality data for early detection of Classical Swine Fever in The Netherlands","2011.0","Backer, J.A. and Brouwer, H. and van Schaik, G. and van Roermund, H.J.W.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2010.10.008","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Netherlands","NA","Livestock","1.0","pig","1.0","NA","mortality","mortality","Population","Mortality records","Farmer/Owner","NA","NA","NA","No","NA","early detection of Classical Swine Fever","No, checked WUR website","Temporal","Frequentist","Yes"
"Automatic detection of deviations in activity levels in groups of broiler chickens - A pilot study","2011.0","Kristensen, H.H. and Cornou, C.","Biosystems Engineering","10.1016/j.biosystemseng.2011.05.002","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Denmark","NA","Livestock","1.0","chicken","1.0","NA","activity","behavior","Herd_flock","Video recording","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Bayesian","Yes"
"A flock-tailored early warning system for low pathogenic avian influenza (LPAI) in commercial egg laying flocks","2009.0","Beltrán-Alcrudo, D. and Carpenter, T.E. and Cardona, C.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2009.07.013","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","USA","NA","Livestock","1.0","chicken","2.0","NA","mortality, egg production, feed consumption","mortality, reduced production, behavior","Herd_flock","Reports","Farmer/Owner","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","Yes"
"An online operational alert system for the early detection of shrimp epidemics at the regional level based on real-time production","2008.0","Bayot, B. and Sonnenholzner, S. and Ochoa, X. and Guerrerro, J. and Vera, T. and Calderón, J. and de Blas, I. and Cornejo-Rodriguez, M.P. and Stern, S. and Ollevier, F.","Aquaculture","10.1016/j.aquaculture.2008.02.035","LitSearch","Established","Academic","Local/Municipal","South America","Ecuador","NA","Fisheries/Aquaculture","1.0","shrimp","1.0","1.0","mortality","mortality","Population","Mortality records","Farmer/Owner","NA","SAEMA (Epidemiological Alert System and Aquaculture Management)","Yes","No","inform stakeholders (authorities, industry, farmers)","early detection of disease outbreak in shrimp","Established","Spatio-temporal","Frequentist","Yes"
"LAHVA: Linked animal-human health visual analytics","2007.0","Maciejewski, R. and Tyner, B. and Jang, Y. and Zheng, C. and Nehme, R.V. and Ebert, D.S. and Cleveland, W.S. and Ouzzani, M. and Grannis, S.J. and Glickman, L.T.","VAST IEEE Symposium on Visual Analytics Science and Technology 2007, Proceedings","10.1109/VAST.2007.4388993","LitSearch","Pilot program",NA,"National","North America","USA","NA","Companion","2.0","dog, cat","3.0","unspecified","gastrointestinal symptoms","GI","Population","Emergency room and pet hospital visit records","Private veterinarian","NA","LAHVA (linked animal-human visual analytics)","Yes","Yes","inform stakeholders (epidemiologists, public health)","early detection of disease, bioterrorism, toxicology, human health","No, Purdue U only has abstracts, nothing operational","Spatio-temporal","Frequentist","Yes"
"Early outbreak detection using an automated data feed of test orders from a veterinary diagnostic laboratory","2007.0","Shaffer, L. and Funk, J. and Rajala-Schultz, P. and Wallstrom, G. and Wittum, T. and Wagner, M. and Saville, W.","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10.1007/978-3-540-72608-1_1","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","USA","NA","Livestock, Companion","3.0","dog, cat, horse","6.0","NA","respiratory, gastrointestinal, neurologic, dermal, reproductive, non-specific","lab tests","Population","Laboratory screening tests","Private veterinarian","NA","NA","NA","No","NA","early detection of disease, bioterrorism","No, checked U Pittsburgh RODS Laboratory and Ohio State websites","Spatio-temporal","Frequentist","Yes"
"An analysis of an early-warning system to reduce abortions in dairy cattle in Denmark incorporating both financial and epidemiologic aspects","2007.0","Carpenter, T.E. and Chrièl, M. and Greiner, M.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2006.08.002","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Denmark","NA","Livestock","1.0","cattle","1.0","NA","abortions","reproductive","Herd_flock","Farm records","Farmer/Owner","NA","NA","NA","No","NA","early detection of disease","No could not find anything from university or institutional websites","Temporal","Frequentist","Yes"
"Data analysis supports monitoring and surveillance of sheep health and welfare in the Netherlands","2022.0","van der Heijden, M. and Dijkstra, E. and Holstege, M. and van den Brom, R. and Vellema, P.","Small Ruminant Research","10.1016/j.smallrumres.2022.106831","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Netherlands","NA","Livestock","1.0","sheep","1.0","NA","mortality","mortality","Population","Rendering data, identification and registration records","Multiple (see notes)","Farmer/Owner, Private company (disposal services, etc)","NA","NA","No","NA","early detection of health and welfare issues in sheep","No, checked Rendac and GD Health websites","Spatio-temporal","NA","Yes"
"Early prediction of respiratory disease in preweaning dairy calves using feeding and activity behaviors","2021.0","Bowen, J.M. and Haskell, M.J. and Miller, G.A. and Mason, C.S. and Bell, D.J. and Duthie, C.-A.","Journal of Dairy Science","10.3168/jds.2021-20373","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","UK","NA","Livestock","1.0","cattle","15.0","NA","lying time, number lying bouts, lying bout length, total milk consumption, milk per feeding, total visits to feeder, total visits with consumption, total visits without consumption, drink speed, total time at feeder, total time milk consumption, total time at feeder no consumption, average time feeder visit, average time feeder visit with consumption, average time feeder visit with no consumption","behavior","Individual","leg-mounted accelerometer and video recordings","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","NA","NA"
"Early detection of wildlife morbidity and mortality through an event-based surveillance system","2021.0","Kelly, T.R. and Pandit, P.S. and Carion, N. and Dombrowski, D.F. and Rogers, K.H. and McMillin, S.C. and Clifford, D.L. and Riberi, A. and Ziccardi, M.H. and Donnelly-Greenan, E.L. and Johnson, C.K.","Proceedings of the Royal Society B: Biological Sciences","10.1098/rspb.2021.0974","LitSearch","Pilot program",NA,"State/Province/Department","North America","USA","NA","Wildlife","453.0","seabirds, unspecified","12.0","12.0","neurological symptoms, respiratory symptoms","nervous, respiratory","Population","Veterinary reports","Private veterinarian","NA","WildAlert","Yes","No","inform stakeholders (wildlife managers)","early and enhanced detection of health threats","Yes, originally called WMME Alert system, has now become WildAlert https://www.wildneighborsdp.org/wildalert","Spatio-temporal","Frequentist","No"
"Honey bee colony population daily loss rate forecasting and an early warning method using temporal convolutional networks","2021.0","Ngo, T.-N. and Rustia, D.J.A. and Yang, E.-C. and Lin, T.-T.","Sensors","10.3390/s21113900","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","Taiwan","NA","Livestock","1.0","honey bee","1.0","NA","in-and-out activity at hive entrances","behavior","Herd_flock","Video recording","Sensor/Camera","NA","NA","NA","No","NA","early warning of excess mortality","NA","Temporal","Frequentist","Yes"
"An Automatic Detection Method for Abnormal Laying Hen Activities using a 3D Depth Camera","2021.0","Du, X. and Teng, G.","Engenharia Agricola","10.1590/1809-4430-ENG.AGRIC.V41N3P263-270/2021","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","China","NA","Livestock","1.0","chicken","1.0","NA","activity index, occupation index","behavior","Herd_flock","Video recording","Sensor/Camera","NA","NA","NA","No","NA","early detection of disease and welfare in chickens","NA","Temporal","Frequentist","Yes"
"Risk-based early detection system of African Swine Fever using mortality thresholds","2021.0","Faverjon, C. and Meyer, A. and Howden, K. and Long, K. and Peters, L. and Cameron, A.","Transboundary and Emerging Diseases","10.1111/tbed.13765","LitSearch","Prospective/Proof of Concept",NA,"NA","NA","NA","NA","Livestock","1.0","pig","1.0","NA","mortality","mortality","Herd_flock","simulated","NA","NA","NA","NA","No","NA","early detection of disease","NA","Temporal","NA","Yes"
"A machine vision system for early detection and prediction of sick birds: A broiler chicken model","2019.0","Okinda, C. and Lu, M. and Liu, L. and Nyalala, I. and Muneri, C. and Wang, J. and Zhang, H. and Shen, M.","Biosystems Engineering","10.1016/j.biosystemseng.2019.09.015","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","China","NA","Livestock","1.0","chicken","2.0","NA","posture, walk speed","behavior","Individual","video recording","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Simulation Based Evaluation of Time Series for Syndromic Surveillance of Cattle in Switzerland","2019.0","Faverjon, C. and Schärrer, S. and Hadorn, D.C. and Berezowski, J.","Frontiers in Veterinary Science","10.3389/fvets.2019.00389","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Switzerland","NA","Livestock","1.0","cattle","9.0","NA","mortality, stillbirths, abortions, any disease, gastrointestinal symptoms, respiratory symptoms, other symptoms, lab tests BVD suspected, lab tests rhinotracheitis suspected","mortality, reproductive, general illness, GI, respiratory, lab tests","Population","national databases for movement, association of cattle breeders, lab test requests","Multiple (see notes)","Private Veterinarian, Farmer/Owner","NA","NA","No","NA","early detection of disease outbreak","No, have checked websites for other papers, no information on ALIS lab website","Temporal","Frequentist","Yes"
"Voluntary monitoring systems for pig health and welfare in the UK: Comparative analysis of prevalence and temporal patterns of selected non-respiratory post mortem conditions","2017.0","Correia-Gomes, C. and Eze, J.I. and Borobia-Belsué, J. and Tucker, A.W. and Sparrow, D. and Strachan, D. and Gunn, G.J.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2017.07.007","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","UK","NA","Livestock","1.0","pig","4.0","NA","pericarditis, milk spots, papular dermatitis, tail damage","carcass condemnation","Population","post-mortem inspections","Meat inspector","NA","NA","NA","No","NA",NA,NA,"Temporal","NA","Yes"
"Avian influenza risk surveillance in North America with online media","2016.0","Robertson, C. and Yee, L.","PLoS ONE","10.1371/journal.pone.0165688","LitSearch","Prospective/Proof of Concept",NA,"Global","NA","Global","NA","Livestock, Wildlife","multiple","wild birds, domesticated bird, poultry","1.0","NA","Tweets with keywords","Web search/social media","Population","Twitter","Member of public","NA","NA","NA","No","NA","early detection of disease outbreak","No","Spatio-temporal","Frequentist","Yes"
"Simulation-based evaluation of the performances of an algorithm for detecting abnormal disease-related features in cattle mortality records","2015.0","Perrin, J.-B. and Durand, B. and Gay, E. and Ducrot, C. and Hendrikx, P. and Calavas, D. and Hénaux, V.","PLoS ONE","10.1371/journal.pone.0141273","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock","1.0","cattle","1.0","NA","mortality","mortality","Population","National cattle register (NCR) and the Fallen stock data interchange (FSDI)","Multiple (see notes)","Farmer/Owner, Private company (disposal services, etc)","OMAR","Yes","No","NA","early detection of emerging diseases, epidemiological changes in the pattern of enzootic diseases, or other health events","OMAR","Spatio-temporal","Frequentist","No"
"Early warnings from automatic milk yield monitoring with online synergistic control","2014.0","Huybrechts, T. and Mertens, K. and De Baerdemaeker, J. and De Ketelaere, B. and Saeys, W.","Journal of Dairy Science","10.3168/jds.2013-6913","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Belgium","NA","Livestock","1.0","cattle","1.0","NA","milk production","milk production","Individual","Milking robots","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Development of an early warning system for a broiler house using computer vision","2013.0","Kashiha, M. and Pluk, A. and Bahr, C. and Vranken, E. and Berckmans, D.","Biosystems Engineering","10.1016/j.biosystemseng.2013.06.004","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Netherlands","NA","Livestock","1.0","chicken","1.0","NA","animal distribution index","behavior","Herd_flock","video recording","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","Yes"
"Suitability and limitations of portion-specific abattoir data as part of an early warning system for emerging diseases of swine in Ontario","2012.0","Thomas-Bachli, A.L. and Pearl, D.L. and Friendship, R.M. and Berke, O.","BMC Veterinary Research","10.1186/1746-6148-8-3","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","pig","2.0","NA","lung condemnation, kidney condemnation for","carcass condemnation","Population","meat inspection reports","Meat inspector","NA","NA","NA","No","NA","early detection of disease outbreak","No, nothing on OMAFRA website","Spatio-temporal","Frequentist","Yes"
"Changes in Feeding Behavior as Possible Indicators for the Automatic Monitoring of Health Disorders in Dairy Cows","2008.0","Gonzalez, L.A., Tolkamp, B.J., Coffey, M.P., Ferret, A., Kyriazakis, I.","Journal of Dairy Science","10.3168/jds.2007-0530","ReviewRef","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","UK","NA","Livestock","1.0","cattle","6.0","NA","feed intake, feeding time, meal time, feedin rate, meals, visits","behavior","Individual","computerized feeders","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"How to improve the detection of animal emerging diseases? A two-level (veterinarian/farmer) approach based on an Internet-Oracle database","2003.0","Vourc'h, G., Barnouin, J.J.","ISVEE Proceedings","https://hal.inrae.fr/hal-02760602","ReviewRef","Pilot program",NA,"Multi-Region","Europe","France","NA","Livestock","1.0","cattle","2.0","2.0","mortality, atypical syndromes","mortality, general illness","Population","Reports to custom app","Multiple (see notes)","Private veterinarians, Other","emergences","Yes","No","inform expert group (clinicians, epidemiologists)","early detection of emerging diseases","Website no longer exists","NA","NA","Yes"
"Preliminary assessment of syndromic surveillance for early detection of foreign animal disease incursion or agri-terrorism in beef cattle populations.","2003.0","De Groot, B. D., Spire, M. F., Sargeant, J. M., Robertson, D. C.","ISVEE Proceedings","https://www.sciquest.org.nz/browse/publications/article/63378","ReviewRef","Pilot program",NA,"State/Province/Department","North America","USA","NA","Livestock","1.0","cattle","6.0","6.0","non-neonatal diarrhea outbreak, neurologic dysfunction or inability to rise, abortion or birth defect outbreak, mortality, erosive or ulcerative lesions of the mucosa or skin, feed refusal or weight-loss outbreak without clear explanation","GI, nervous, reproductive, mortality, mucosa, skin/fur/plumage, behavior, general illness","Population","Reports to custom app","Private veterinarian","NA","RSVP-A (Rapid Syndrome Validation Project – Animal)","Yes","No","not specified","early detection of emerging disease, bioterrorism","Last mentionned 2006 KSU","NA","NA","Yes"
"Use of laboratory data to reduce the time taken to detect new diseases: vida to FarmFile","2008.0","Gibbens, J.C., Robertson, S., Wilmington, J., Milnes, A., Ryan, J.B.M., Wilesmith, J.W., Cook, A.J.C., David, G.P.","VetRecord","10.1136/vr.162.24.771","ReviewRef","Established","Government","National","Europe","UK","NA","Livestock","3.0","cattle, pig, sheep","15.0","15.0","DNR systemic disease, DNR digestive, DNR respiratory, DNR urinary, DNR musculoskeletal, DNR nervous, DNR skin, DNR circulatory, DNR reproductive, DNR other, DNR disease unknown, DNR fetopathy, mastitis no microbial, mastitis with microbial contamination, mastitis two organisms","lab tests","Population","Submissions to  VLA laboratories","Private veterinarian","NA","FarmFile","Yes","No","field investigation","improve livestock disease detection","Established","Temporal","Frequentist","Yes"
"Dead Bird Clusters as an Early Warning System for West Nile Virus Activity","2003.0","Mostashari, F., Kulldorf, M., Hartman, J.J., Miller, J.R., Kulasekera, V.","Emerg Infect Dis","10.3201/eid0906.020794","ReviewRef","Pilot program",NA,"Local/Municipal","North America","USA","NA","Wildlife","multiple","wild birds","1.0","1.0","mortality","mortality","Population","Phone call or reports to custom app","Member of public","NA","New York City Department of Health and Mental Hygiene WNV dead bird pilot","Yes","Yes","increased surveillance for larva, mosquitos, humans; prevention action (abatement of standing water)","early detection of disease outbreak (WNV)","No (checked gov website)","Spatio-temporal","Frequentist","Yes"
"Developing a network for small animal disease surveillance","2010.0","Radford, A., Tierney, A., Coyne, K.P., Gaskell, R.M., Noble, P.J., Dawson, S., Setzkorn, C., Jones, P.H., Buchan, I.E., Newton, J.R., Bryan, J.G.E.","VetRecord","10.1136/vr.c5180","ReviewRef","Pilot program",NA,"National","Europe","UK","NA","Companion","1.0","dog","3.0","3.0","diarrhoea and vomiting, aggression, pruritus","GI, behavior, skin/fur/plumage","Population","Veterinary records","Private veterinarian","NA","SAVSNET (Small Animal Veterinary Surveillance Network)","Yes","No","publication on website_field investigation","rapid and actionable research and surveillance","Yes","Spatial","Frequentist","No"
"Companion animals as sentinels for community exposure to industrial chemicals: the Fairburn, GA, propyl mercaptan case study","2008.0","Maciejewski, R., Glickman, N., Moore, G., Zheng, C., Tyner, B., Cleveland, W., Ebert, D., Glickman, L.","Public Health Reports","10.1177/003335490812300313","ReviewRef","Pilot program","Academic","Local/Municipal","North America","USA","NA","Companion","2.0","dog, cat","5.0","NA","eye inflammation (allergic inflammation of the conjunctiva), gastrointestinal (GI) (diarrhea, vomiting, or excess gas), respiratory (coughing or trouble breathing), fever (elevated body temperature), general weakness/change in mental state (fainting, ataxia, depressed mentation, fits, or seizures)","eyes/ears, GI, respiratory, general illness","Population","Veterinary records","Private veterinarian","NA","National Companion Animal Surveillance Program","Yes","Yes","inform stakeholders and authorities","bioterrorism, detect emerging disease, detect zoonotic disease, toxicological threats, monitor endemic disease, sentinel for human health, monitor vectors","Brady et al. 2012 Canine parvovirus reports that NCASP was discontinued","Spatio-temporal","Frequentist","No"
"Application of feeding behaviour to predict morbidity of newly received calves in a commercial feedlot","2001.0","Quimby, W.F., Sowell, B.F., Bowman, J.G.P., Branine, M.E., Hubbert, M.E., Sherwood, H.W.","Canadian Journal of Animal Science","10.4141/A00-098","ReviewRef","Prospective/Proof of Concept",NA,"Local/Municipal","North America","USA","NA","Livestock","1.0","cattle","1.0","NA","time feeding","behavior","Individual","Transponder","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Evaluation of a veterinary-based syndromic surveillance system implemented for swine.","2010.0","del Rocio Amezcua, Maria and Pearl, David L. and Friendship, Robert M. and McNab, W. Bruce","Canadian journal of veterinary research = Revue canadienne de recherche veterinaire",NA,"LitSearch","Pilot program",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","pig","12.0","12.0","mortality, morbidity, poor growth rate, poor farrowing rate, poor conception rate, reduced litter size, respiratory, digestive, nervous, reproductive, musculo-skeletal, integument-senses","mortality, general illness, reduced production, reproductive, respiratory, GI, nervous, musculoskeletal, skin/fur/plumage","Population","Veterinary records","Private veterinarian","NA","OSVS (Ontario Swine Veterinary-based Surveillance)","Yes","No","field investigation","early detection of disease outbreak","No","Spatio-temporal","Frequentist","No"
"Comparison of disease trends in the Ontario swine population using active practitioner-based surveillance and passive laboratory-based surveillance (2007-2009)","2013.0","Amezcua, Rocio and Pearl, David L. and Friendship, Robert M.","The Canadian veterinary journal = La revue veterinaire canadienne",NA,"LitSearch","Pilot program",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","pig","13.0","13.0","respiratory, digestive, reproductive, nervous, musculoskeletal, integument/senses, urinary-genital, increase in mortality, increase in morbidity, poor growth rate, poor farrowing rate, poor conception rate, reduced litter size","respiratory, GI, reproductive, nervous, musculoskeletal, skin/fur/plumage, urinary, mortality, general illness, reduced production","Population","Veterinary reports to custom system","Private veterinarian","NA","OSVS (Ontario Swine Veterinary-based Surveillance)","Yes","No","field investigation","early detection of disease outbreak","No","Temporal","Frequentist","Yes"
"A new system for monitoring health status in Norwegian aquaculture.","2007.0","Thorud, K. and Brun, E. and Lillehaug, A. and Almklov, M. and Romstad, S. and Binde, M.","Developments in biologicals",NA,"LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Norway","NA","Fisheries/Aquaculture","multiple","fish","5.0","5.0","mortality, growth rate, growth diversification, slaughterhouse condition, slaughterhouse downgrading","mortality, reduced production, carcass condemnation","Population","Multiple","Multiple (see notes)","Farmer/Owner, Private company (disposal services, etc)","MFISK","Yes","No","NA","early detection of disease and welfare","No, checked website of Norwegian Ministry of Fisheries and Coastal Affairs, National Veterinary Institute, and Norwegian Food Safety Authority","Spatio-temporal","Frequentist","Yes"
"A methodology for daily analysis of AMS data providing herd characterisation and segmentation","2019.0","Benni, S. and Bonora, F. and Tassinari, P. and Torreggiani, D.","Precision Livestock Farming 2019 - Papers Presented at the 9th European Conference on Precision Livestock Farming, ECPLF 2019","https://www.eaplf.eu/wp-content/uploads/ECPLF_19_book.pdf#page=536","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Italy","NA","Livestock","1.0","cattle","7.0","NA","activity score, rumination time, days in milk, milk temperature, body mass, milk conductivity, parity","behavior, milk production, milk quality, general illness, reproductive","Individual","automatic recordings","Sensor/Camera","NA","NA","NA","No","NA","NA","NA","Temporal","Frequentist","NA"
"Technological tools for infection detection: Case studies with the SOMO respiratory distress monitor in Belgian pig farms","2019.0","Cui, Z.Y. and Buyens, W. and Berckmans, D. and De Volder, I. and Degezelle, I. and Vranken, E.","Precision Livestock Farming 2019 - Papers Presented at the 9th European Conference on Precision Livestock Farming, ECPLF 2019","https://www.eaplf.eu/wp-content/uploads/ECPLF_19_book.pdf#page=536","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Belgium","NA","Livestock","1.0","pig","1.0","1.0","vocalizations","behavior","Herd_flock","automatic recordings","NA","NA","SOMO Respiratory Distress Monitor of Soundtalks","Yes","No","NA",NA,NA,"Temporal","Frequentist","Yes"
